"filename", "language", "Ini", "Python", "JSON", "Markdown", "HTML", "toml", "JavaScript", "Docker", "pip requirements", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/dev/Documents/packtune/react-vite/dist/assets/SoundCloud-25e07cb4.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/assets/Streamable-0c3fc29b.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/assets/Twitch-93ece7e7.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/assets/Vidyard-6f411186.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/assets/Vimeo-1491e928.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/assets/Wistia-7238aba2.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/assets/YouTube-ef8df436.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/assets/index-696f3ddc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 80, 1, 100
"/Users/dev/Documents/packtune/react-vite/dist/assets/index-d1ae4bcd.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/dev/Documents/packtune/react-vite/dist/index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"/Users/dev/Documents/packtune/react-vite/index.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/dev/Documents/packtune/react-vite/package-lock.json", "JSON", 0, 0, 4104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4105
"/Users/dev/Documents/packtune/react-vite/package.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/Users/dev/Documents/packtune/react-vite/src/components/ApplicationComplete/ApplicationComplete.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 5, 25
"/Users/dev/Documents/packtune/react-vite/src/components/ApplicationComplete/ApplicationComplete.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 5, 23
"/Users/dev/Documents/packtune/react-vite/src/components/ApplicationComplete/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"/Users/dev/Documents/packtune/react-vite/src/components/CancelPage/CancelPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"/Users/dev/Documents/packtune/react-vite/src/components/CancelPage/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"/Users/dev/Documents/packtune/react-vite/src/components/Charts/Charts.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"/Users/dev/Documents/packtune/react-vite/src/components/Charts/Charts.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 1, 6, 45
"/Users/dev/Documents/packtune/react-vite/src/components/Charts/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"/Users/dev/Documents/packtune/react-vite/src/components/ContactUs/ContactUs.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 5, 86
"/Users/dev/Documents/packtune/react-vite/src/components/ContactUs/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"/Users/dev/Documents/packtune/react-vite/src/components/GenreTypeForm/GenreTypeForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 14, 120
"/Users/dev/Documents/packtune/react-vite/src/components/GenreTypeForm/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"/Users/dev/Documents/packtune/react-vite/src/components/LandingPage/LandingPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 2, 10, 51
"/Users/dev/Documents/packtune/react-vite/src/components/LandingPage/LandingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 9, 29
"/Users/dev/Documents/packtune/react-vite/src/components/LandingPage/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"/Users/dev/Documents/packtune/react-vite/src/components/LoginFormModal/LoginForm.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/dev/Documents/packtune/react-vite/src/components/LoginFormModal/LoginFormModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 8, 66
"/Users/dev/Documents/packtune/react-vite/src/components/LoginFormModal/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"/Users/dev/Documents/packtune/react-vite/src/components/LoginFormPage/LoginForm.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"/Users/dev/Documents/packtune/react-vite/src/components/LoginFormPage/LoginFormPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 12, 98
